Tag 1,Tag 2,Rules
4. Animal Welfare,4.1. Health and Welfare Plan,organization written Health Welfare Plan place includes follow applicable a nutritional requirements met b access clean safe drink water maintain c Prevention monitor health issues eg prevalent diseases vaccination lameness injuries internal external parasites d Standard procedures animal husbandry operations castration euthanasia e Biosecurity f Graz management g Load transport organizations develop with review by veterinarian annually visits farm check condition waterfowl Emergency welfare exceptional circumstances fire power cut off flood snow storm feed breakdown vehicle epidemic disease outbreak etc includ Measures taken ensure adequate fe available strategy provision shelter assessment treatment animals arrangements made necessary relocate sell humanely euthanize adversely affect personal protection equipment requir visitors inform advance arrival Foot brushdisinfectant barrier footwear systems provid entrance risk parasite infestation resolv treat preventatively inspections conduct twice day signs injury ill shall routine frequency increas appropriate extreme weather events birth times flystrike Workers knowledgeable demonstrate competency handl possess practice ability onfarm slaughter meet unifi standard Animals body routinely workers capable measur Body Condition Score BCS measurement identifies evidence inadequate nutrition takes action return good actions record 20 cover plaques dirt 30 liquid suffer problems promptly Treatment withheld order preserve individual herds flocks eligibility market Sick injur ne remov herd flock space recovery advice need prevention andor strategies avoid development resistant sought specialist advisor dipp stress minimiz safety safeguard Treatments administer accord label veterinary treatments maintains records detail Substance product reason Animal group identification Number Date Withdrawal period unable illness mov truck sl cart mortality die euthaniz Unexpect deaths outbreaks investigat preventive remedial rates exce expect levels resolve problem Species certificate scope kept continuously close confinement receive care attention comfort 1 Communal Farmer Groups plan prepar level 2 producers 3 suggest template User Manual Small Producer criterion recommendation down separate requirement vet comes exception small farms time fiber challenges gett vets support remotely emergency exists addresses points list certifi ie mitigation higher occurrence given user manual likely commercial hous ducks geese production Preventative us acceptable worm set dates intervals justifi specific industry forecasts guide farmers peak climate nematodirus stages cycle females late gestation temporary decline resilience preventative reduce shedd eggs infect offspr Mules breach modifications wellness Walk slowly carefully lame birds sure walk view identify Identification sick Check work feces worms inspect frequently unnecessary scale type system penn pasture stock keepers daily livestock Records incidences extensive settings inspection groups often occupi range area site sees high morbidity occur indication insufficient guidance note current best practices species recognize veterinarians experts responsible carry describe interview techniques align Routine requires sample assess year Ideally habit do gather tasks aware train correct muscle fat coverage base scor templates keep Inadequate score Scor 10 50 head neck legs knee hock exclud calculation percentage Plaques built up dimensional areas mud indicate prolong exposure dirty muddy conditions visually ideally meters difficult dirtiness case highest held pens 4 “prompt” deliver soon possible discover minutes certainly hour caught potentially assistance hours accomplish relevant additional certifications prohibit use medications example retailer programs meat antibiotics lead quicker However rest plac hospital similar Requirements liv environment dry bedd easy food specifi continue spaces effective fully submerg solution drown Females unwean separat young trapp bigger dip open cuts wounds minimize infection wet tir thirsty concentration does excessively contaminat soil post 5 morn nightfall potential complications pneumonia 6 ensur protective worn ventilation splash boards screens enter 7 Note residues remain weeks common dosage products CBs request needs chance rise easily movement pain distress Us depend size supports outcome distinguish dead risks death outside expectations expert recurrence determin overall different types age limits investigate cause br result auditor perform audit noncertifi concerns observ appli include guardian Close defin situations freedom ConformanceRelat Leadership MEL Indicator Major Minor Recommendation Critical Sheep wool Mohair Alpaca Down Skins
4. Animal Welfare,4.10. Euthanasia and On-Farm Slaughter,clear set criteria recogniz animal needs euthaniz workers aware of competent follow animals experienc severe pain illness reasonable expectation improvement delay Euthanasia andor onfarm slaughter perform us method quick causes minimal stress results rapid loss consciousness death regain methods euthanasia a Captive bolt gun b Handheld stunn exsanguination c Cervical neck dislocation options available Manual cervical appli birds 3 kg weight Mechanical 5 Individual veterinarians euthanize seventy 70 manual day unless requir bird welfare qualifi people emergency situations eg find access tools prolong suffer prior Firearm Penetrat nonpenetrat captive secondary ensure pith conduct cutt throat best practice guidance Plann carri train veterinary surgeon plann takes place acceptable sheep goats only headonly electric kill device position correctly accord species electrical minimum current 100 amp achiev bolts firearms appropriate cartridge propellent size spinal cord sever broken confirmation Death confirm disposal process observ Fix dilat pupils Lack corneal response jaw tongue tone d respiration minutes Pupils centrally fix nictat membrane Limp body pulse muscle movement wings droop rhythmic breath Onfarm away view unavoidable cases 1 organization develop interview shall includ protocol Health Welfare Plan 2 meets seen audit Examples include high level treatment unlikely effective alleviate saves able return normal function seriously sick injur shows sign 24 hours leave die alone ne certifi site overarch principle reflects Details provid rest section uses availability guns handheld stunners region production time taken cause exce alternative heavier stretch dislocate bas crush sufficient limit exceed disease outbreak unforeseen absence emergencies stick 70birds maximum alive farmers possible carry inspect need discover inspection long way main farm buildings option prestunn common knife addition regions legal effectively stun Us Circumstances permitt licens restrictions equipment purchase Equipment country demonstrat work hav suitable staff use it allowance applicable list bleed immediately post Electric design purpose operat manufacturers guidelines rarely here steps sharp 15 cm restrain chin held extend swift cut upper carotid arteries jugular veins allow blood continues loses monitor Additional accompany unifi standard nominat Workers responsible demonstrate competence handl parameters head onlyelectric seconds occurs regains Interview identify correct placement firearm alpaca plac crown ie highest point aim downwards base penetrat poll intersection lines drawn outside corner eye middle opposite ear 4 horn alternate orientation gunshot line downward skull direct bullet 6 waterfowl straight down 7 Electrical examples visible meter check reach apply devices right vary type justify choice organizations as discussions provide evidence signs mov doubt dead stunningkill repeat Unavoidable additional distress necessary person unable ConformanceRelat Major Critical Minor Sheep wool Mohair Alpaca Down Skins
4. Animal Welfare,4.11. Slaughterhouse,organization document standard operat procedures parts slaughterhouse operation review annually implement appropriately appoint person responsible animal welfare authority stop slaughter operations risk Slaughter sites comply applicable legislation environmental management workers unload handl stunn animals competent accomplish tasks requir them protect Workers receiv train includes follow a Animal principles b Good practices c Identification sickinjur d Stunn methods check effectiveness e Relevant eg posters pictograms view language understand waterfowl inspect arrival site injury illness Records kept available inspectors maintains records incom loads certifi farms Rate dead sick injur Travel time Time Animals humanely mistreatment prohibit Unless wait area appropriate facilities 2 hours Waterfowl hung room reduc light minimize stress fear Measures taken levels moment kill includ prevent see Live held plant subject extreme cold heat Electric prodders us unable rise euthaniz promptly method defin unifi Hold pens provide space lie together shade shelter maintain thermal comfort Water hold f 12 more floor areas access live provides good traction slipp fall Suitable equipment species reserve Stunningslaughter manufacturer’s instructions causes immediate unconsciousness lasts death Electrical neck cutt Captive bolt gun electrical appli criteria met Frequency hertz 200 Hz Minimum current 130 mA water bath heads birds completely immers electrode extends length receive prestun shocks baths form frequency 3 times day results record Adjustments settings produce effective consistent stun ensur Head electric Headheart Penetrat captive guns Firearm device position correctly accord minimum 100 amp A achiev bolts firearms cartridge propellent shackl andor hoist unless effectively sign consciousness immediately restunn ensure unconscious bl Follow shall soon possible 15 seconds headonly 60 headheart shoot firearm ble wound severs major blood vessels allows rapid loss point Death confirm observation pupils heartbeat lack respiration prior process sight conducts confirmation inspections supplier conformance 1 Document meet requirements criterion provid request details worker mak sure operational presents information demonstrates currently investigation for prosecut failure laws regulations observ audit demonstrate competence seen puts carry list describe interview techniques align internal oversight evaluation include monitor takes place programs whether conduct internally externally cover topics Details qualification deliver session date took success assess handle evidence successfully complet relevant work local context educational capacities processes copies inspection show number identifi ill Birds discover suffer com elements strict policy ensures aware responsibilities poor treatment Mistreatment rough physical contact kick strik slamm gates tripp throw dropp dragg pull fleece wings tail ears head horns legs lift carefully calmly know signs lot vocalization actions reduce this 4 hand individual transport crates contain thrown movement smooth calm 5 covers Appropriate allow control temperature humidity external stressors noise food Reduc lower level balanc safety dark do consider bird steps goes adherence rest section encompass approach focus reduction frame lens best particularly important Attention paid outside group expos chill middle overheat depend prevail conditions direct sunlight wind precipitation pant hot fans ventilation huddl additional temperaturecontroll build need known prods hotshots names administers shock reason permitt exception use devices clear guidance euthanasia underway acceptable leave Euthanasia describ prestunn occupi sufficient obstruction plan detail maximum type one auditor exceed Construction suitable example roof not walls passive active potential weather temperatures discomfort shiver describes necessary adaptations extremes provision summer curtains similar windbreaks gaps winter accessible penarea Accessibility height source means open troughsbuckets ie bite nipple drinkers drinker easily buckets troughs manually fill checks topp up stocks fe ne uncommon occurrence plans extend periods sources previously purchas invoices suppli farmer feed racks hay concentrate Slipp situation loses foot portion leg touches Fall body aside feet ground slip guide tolerances respectively surface groov nonslip mats material Floors wet manure extent surfaces slippery Primary Reserve different primary long conform state repair maintenance schedule conforms manufacturers uses stunners handheld cut occurs return likely geese fully load Observation shows adjust size commonly commercial poultry However concerns relat inversion requires challenges leadership metric assumes course entire remedial action insensibility 96 attempt 25 scor tolerance 99 correct penetrat poll sheep goats plac intersection lines drawn corner eye base opposite ear horn alternate orientation gunshot line aim downward throat alternative placement skull bullet spinal cord only electrodes span brain directly scissortype tongs tong carri fix handpiece headtoback rear heart with forward eyes way visible meter reach apply right vary justify choice Checks corneal reflex eyelash response touch rhythmic breath ribs twice spontaneous blink rail remains Bleed delay ready able perform multiple succession bleed order tim average period does exce shot incision sharp knife jugular furrow entrance chest sever aris close blade 120 mm make carotid arteries veins Blood gush mov doubt stunningkill repeat slaughteringbleed curtain away visits nonconformances resolve these ConformanceRelat Leadership MEL Indicator Minor Major Critical Recommendation Down Skins
4. Animal Welfare,4.2. Animal Nutrition,plann feed nutrition organization takes consideration animal numbers seasonal forage production boughtin food chang climate patterns Animals access adequate foragebas suit animals’ age needs maintain health prevent prolong hunger malnutrition Changes diet introduc gradually Waterfowl provid sufficient meet nutritional good condition Fe continuously available animals daylight hours space feeders waterfowl eat undue competition Growth promoters us forcef includ contractors outsourc does source soy diets sourc countries high risk crop land creat deforestation conversion unless verification occurr supply clean safe drink water day Sheep andor goats depriv fe reasonable management practices such shear transport slaughter longer twentyfour 24 Ewes late pregnancy lactat 20 Alpacas 6 held husbandry monitor signs distress remedial actions taken seen poor healthcondition 8 properly stor ensure quality contamination avoid performs regular checks quantity promptly rectifies identifi storage problems 1 Climate change result changes expect grow conditions regions example drought previously emergency situation find common occurrence Plann account evolv impact Overall bas graz offer harvest forms eg hay baleage preclude use grains protein feeds welfare 2 ne palatable deliver appropriate dietary terms energy minerals etc 3 Forage content daily negative outcomes acidosis protocol place transferr pasture or vice versa supplementary rate allows adapt new time need adaptation vary severity supplies meets different ages types birds young brood phase require higher older free rang areas include vegetation Observ choose sign queu routinely fiber prohibit however antibiotic absence disease growth promoter flock herdbas treatments justifi done forcefeed generally weeks prior facilitate split small penn groups splitt large flocks smaller cycle investigat CB ICS under group scope certificate occurs able provide details ensures cutoff date criterion December 31 2020 check declarations suppliers country origin certifi Round Table Responsible Soy Water suppli troughs drinkers natural sources easily accessible level times continuous nomadic herd systems twice sheep minimum requir task hand successive remov period keeps track return maximum permitt Late ewes gestation tracks exce alpacas closely deprivation periods special attention lactation Remedial action immediately discomfort excessive pant unsteadiness feet hot shiver huddl cold depend reaction provision additional shelter adjust stock density mov ventilation ie body undergo for preshear determin reach applies forages concentrate grainbas Proper remains dry allow easy rodents wild lead foreign bodies frequency availability oversight hous inspect address ConformanceRelat Leadership Minor Critical Major Recommendation wool Mohair Alpaca Skins Down
4. Animal Welfare,4.3. Living Environment,Hous handl systems design construct maintain minimize stress likelihood injury animals locat away areas potential runoff buildings use site structurally sound Infrastructure inspect regularly good condition repair necessary Animals hous outdoor pens protect prevent suffer heat cold Waterfowl access protective shelter Hatchlings provid appropriate supplemental brood threat predators farm cats dogs andor pets kept waterfowl area ventilat automatic ventilation mechanical requir air quality alarm place alerts workers failures sanitary shelters provide dry safe comfortable foot solid floors natural light normal period daylight hours experience minimum 6 uninterrupt darkness near night 8 day lamp 4 weeks age indoors thirty 30 minutes dusk levels reduc dawn increas periods Shelters allow enter artificial us distribut evenly held long term close confinement tether Close time address special ne provision medical care sufficient freedom movement floor space lie rest posture twentyfour 24 consecutive sheepgoat follow animal a Ewedoe 14 m2 b single lambkid 20 c Additional lambskids 3 months 06 d Lambkids 12 09 e Ramsbucks alpaca 50 kg 110 lbs 5080 110176 18 80120 176264 21 Goats longer fortyeight 48 rais platforms available freely move stand turn around stretch wings run Stock density ducks does exce Individual Duck Weight Max Density kgm2 15 17 2 25 35 22 23 45 geese Post 13 birds older cages moldfree bedd avoid discomfort Woodbas products chemically treat wood continual nest they partially clos Contain friable material dark attractive sites weatherproof boxes 1 box pasture times unless emergency severe weather conditions negatively impact welfare effective shade windbreaks Fenc species agetype meat free outside beginn latest big enable easily combin length exits m 100 Outdoor entirely waterlogg muddy consistently cover vegetation Alpacas dust bathe water deep heads shake bodies difficulty able swim feet touch environmental enrichment Total equivalent rates bas the Land type Pasture Seasonal includ availability Class stock Available fe f graz pressure organization maintains record seasonal maintenance ensures sharp edges projections features cause electrical points Shear sheds criterion fiber ie mammals Handl relevant hav mind behavior example tend better curves right angl corners Runoff consider runn known cases occurr mechanism build pen capable adequately safely confin risk eg collapse structure frequency inspection relates shear carri ahead unus year say monthly checks penn audit signs interview stresses action observ Signs include Pant Rapid breath Weaknessdifficulty Remedial actions mov cool shad circulation offer Shallow Shiver Huddl postshear extra attention need includes feed them individual alpacas coats capes reduce permanently wind rain snow temperature house needs manag insulation coll fans etc depend external rang smaller scale taken range morn brought daytime freerang expos temperatures suitable either manufactur hatchlings parents commonly case life Brood usually set 90°F week 5°F 10°F that spread source correct hot huddl Protect mean expectation attack injur predator Rather aware local threats takes livestock options do vari fenc kraals herders accompany guardian Small Producer applicable Farm pet seen exception bond flock applies roof uncover Buildings effectively high humidity condensation draughts buildup harmful concentration gases ammonia carbon dioxide Levels noticeably unpleasant humans Ammonia check height human apply Alarm issue audible visual barn fail automat text cell phone manure remov regular basis litter lifetime management disease transfer flocks equipment services bowls troughs units extinguishers clean smooth concrete slippery surface present hold groov grip rubber matt slip fall exist mesh slatt create particular lead leg problems splay abrasive damage stop supplement inside solely cycle demonstrate timer settings hour ensure manual control meets evidence capabilities gradual decreaseincrease intensity windows wells open curtain sides met bright shadow Examples race crate crush fosteringgraft crates ewe doe yoke neck unable Tether similarly restricts acceptable option manage complete work “long term” vary task hand plac trimm releas group bought drench races restrain lambs foster couple days examples Exact specifi criteria below allows assessment layout total perform behaviors divid number maximum states weight average calculation requirement kids soon birth extends Rais various materials bales hay straw wooden similar items Research shown reduces aggression groups goats bird Free w possible accomplish walls ability rise unhinder remain slaughter meet younger lighter cage fully enclos bars wires barren battery furnish colony enrich prohibit Transport containers contain temporarily vaccinations justifi reasons justification writ qualifi veterinary practitioner large choose guide half depth provides comfort abrasions lesions insufficient caus woodbas sourc nonchemically auditor assess crumbl is Bedd stick boots walks form lump compress retains shape compression release difficult preen cak damp wet 10 Birds stuck feathers breedinglay requirements indicator presence eggs particularly seclud numbers Fiber best herd default position However understood serv removal extreme events ice storms situations permitt Keep keep lots feedlots purpose ready Chang climate patterns review Climate change result changes regions summer drought norm places Plann account evolv Risk exacerbat reliev factors spe protection organizations must allocate different pant concentrat seek 5 shiver horn pastures frequently trapp it Fences discourage try jump strength withstand forces appli Electric fences install contact momentary reach breed flocksparent Weather reason withhold storm cyclone chooses circumstances leadership multiple small fewer larger Easy goes pass through require fly certifi operation completely unattractive promotes causes previous encourage majority immediately precipitation drainage application substrate soak techniques quickly return state view visually occupi vegetative grow green season coverage cut harvest Dust bath groom generally baths opportunity Water drink separate nipple drinkers Bell drinker indicate this Open width easy dip preferr not dirty bills nostrils eyes infection recycl replac foul point young drown behavioral separately queu fight Access onwards order size suggest cm injurious pluck Enrichment forag refuge scatter food know guarantees Calculation considers rotational versus low wild herbivores desir nutritional intake rate soil health land degradation section copy records plan indicates actual differ plann level together detail system ConformanceRelat Leadership MEL Indicator Minor Major Recommendation Critical Sheep wool Mohair Alpaca Down Skins
4. Animal Welfare,4.4. Husbandry Procedures,Good hygiene practices follow relation facilities workers handl instruments Equipment us animal husbandry procedures wellmaintain design specifically purpose Husbandry implement lambs kids maternal bond establish injurious includ tail dock sheep only andor castration bas written welljustifi Welfare RiskBenefit Analysis accordance Health Plan review annually considers a welfare challenge procedure seeks address b kept puberty c Alternative protect animals effectiveness d Methods best suit age e Steps taken minimize pain distress advis veterinary surgeon regardless method relief appli suitable available monitor signs postoperative complications corrective actions necessary perform goats methods Bloodless emasculator Application rubber r shorten scrotum Surgical mandatory alpacas surgical Sheep 8 weeks Goat rings surgery bloodless fourteen 14 Castration ages specifi takes place happens organization raise rams bucks sale retention breed stock set criteria assess suitability conformation parents genetics etc ie shouldn’t keep ram buck that’s born initial assessment young time castrat don’t meet Young pass later develop traits make unsuitable herdflock carri Alpacas 12 months Tail application Thermocautery preferr Scalpel cold knife Dock sheeps tails cover vulva ewes equivalent length mules breech skin folds wrinkles remov Horn inspect regularly ensure tip or horn contact face Dehorn disbudd substantial trimm conduct unless need minor parts blood vessels nerves cut into veterinarian mark identification purposes current legislation Brand Earmark notch conditions met risk loss tags natural environment theft Ear does remove 10 ear tools surgically sharp scalpels Practices debeak infrar treatment prohibit physical alterations waterfowl happen as Declaw Hole punch W clipp Trimm feathers Live pluck Molt harvest forc molt assist comes rais food parent flocks supply chains produce source live outsource Teeth check overgrown teeth rasp 1 criterion relates tagg 2 prevent disease break provide entry point bacteria 3 Hygienic equipment applies organizations borrow brought certifi site contractors others clean good condition example insert right size type tag single closure pliers Female offspr hours birth display care identify period mother reject Incidences rejection abandonment seen copy clearly shows onbalance benefit undertaken suggest template provid User Manual requir includes elements list Note expectation group level individual sent slaughter definitely retain treat entire potentially reach Puberty defin sexual maturity product painreliev effect castrationtail products act quickly acute longer greater similarly vary eg scalpel rise chronic postoperatively addition wound leave licens use farmer relevant country species definition require farm’s judgement regard offlabel drugs reason access appropriate needs prescription obtain long license allows present ensures identifi cause mitigat future operations Complications depend operation Examples include sepsis potential dirty burns thermocautery device correctly scrotal hernia loop intestine testes band hemorrhage testicular artery fails seal clostridial tetanus enter open wounds permitt specify requirements way easy understand chosen shall anatomy alpaca different therefore vet flock lamb occurs hous easily ewelamb secure extensive pasture try catch lead mismother Normal practice gather youngest capable safely mothers situations average acceptable unifi standard calculat spread dates date herd kid doekid kidd demonstrate sells males advertisements invoices retains records boughtin home br selection uses evidence deem maximum day oldest old quite generally principle distal end caudal fold meets breeds purchase ultrashort outside organization’s control look encourage consistent local options shortdock accept wool contain previous certification purchas removal shears stein freeze clips techniques checks routine inspection issues occur Disbudd dehorn partially broken digg tipp resolve issue Minor adults quick tissue devoid involv justifi carries out countries legal placement Best fall gett torn reduc infection breaks middle away veins heat cool permanently details risks measur shape person mak Assessment Individual caught ears deliberate this Observ birds obvious sign hatcheries ducklings goslings feather collection Harvest naturally sh result case not achiev manipulation nutrition conjunction restrict light chain focus production meat smallholders stat rationale ducks geese consumption sufficient larger main output older sourc able previously transfers directly transfer justification explain protrud describes shear annual manual metal rasps files handheld power suitably siz attachment exposes sensitive pulp center tooth 4 canines incisors two threeyearsold male Handheld recommend cutters split ConformanceRelat Major Critical Mohair Alpaca Skins
4. Animal Welfare,4.5. Animal Shearing,Preshear takes consideration climatic conditions ensures mitigation measures place event chang entire process shear perform direct supervision organization person appoint Shear by of competent shearer Animals handl calmly confidently minimize stress us techniques equipment design injury Particular care taken cut injure animal especially teatsudders female animals penissheath scrotum male Alpacas ly directly concrete bare earth plac mat down restrain minimum necessary time alpacas ropes soft abrade skin ti way does restrict blood flow Restrain constant releas restraint struggl themselves people manage lift alpaca positions ensure inhale regurgitat stomach contents ceases immediately treat Pain relief appli injuries suitable pain available maintains records recurr problems mishandl appropriate action address prevent those 1 Cold risk post adapt removal fiber particularly case cycle optimize staple length winter Signs cold include Shallow breath Shiver Huddl sheep Remedial actions mov shelter area feed them 2 Conversely prior heat Pant Rapid Weaknessdifficulty stand cool shad areas good air circulation offer water Note spray wool stops fleece counterproductive Wett help Direct criterion means site present knowledge competence carry meets criteria unifi standard includ maintenance use deal etc ne Handl species conduct carefully procedures detail requir Health Welfare Plan easy workers understand describ practice Equipment task maintain Hand shears clipper blades kept sharp electric power machines condition manufacturer’s instructions audit cuts kind seen times able steps injur observ auditor lie protects acceptable leadership requires given on applies table ground Experienc shearers minutes hand similar clippers complet job precedence spe rope 6 mm diameter attach fetlock limb joint Ropes shall tightly form effective limbs 3 type restraints release Examples safely increas much danger fall tables understood important welfare remov year complete return companions allow settle attempt made last activity sh extra assist involv head hang body example avoids follows open wound greater 10 cm depth reaches muscle layer teats ewes damage prepuce tip vulva Example treatment sutures application repair antibiotic injection not licens husbandry carri out guarantee products provide copies observation previous sessions recurrent issues future prevention retrain ConformanceRelat Leadership MEL Indicator Major Critical Minor Recommendation Sheep Mohair Alpaca Skins
4. Animal Welfare,4.6. Herd Management,Animals maintain stable groups mix animals certifi herd flock avoid introduc breed males new group monitor signs aggression actions taken occurs Isolation individual minimiz case isolation confin animal given companion able visual contact species Exception quarantine purposes livestock guardian suitable farm environment expect predator threat Quarantine procedures follow 1 management fiber necessary regroup However intent criterion organization works minimize ne routinely different far possible allows establish social order 2 production occur young birds initially kept multiple brooder circles releas main house risky time Mix older done newly aggressive point risk severe injury remov Monitor takes place settl hierarchy health welfare example treatment sick injur require isolat seen audit good reason bas support this 3 instances relate promot wider needs reasons understood hav healthy pen best option eg disease transfer knock scope unifi standard complete removal sight smell sound lead stress Exceptions potential spread close proximity successfully us guardians common dogs donkeys llamas success depend type number predators size bond shown chase small foxes away jackal coyote appropriate large andor attacks need 4 pose sheep goats train left unsupervis goal prevent transmission oncom exist consider biosecurity plann Health Welfare Plan leadership purchas simple keep incom stock weeks diseases develop situations higher risks present include vaccination worm programs blood tests ConformanceRelat Leadership Minor Major Recommendation Sheep wool Mohair Alpaca Down Skins
